month,bnf_chemical_name,monthly_items
2020-12-01,Lisdexamfetamine,4350
2020-12-01,Methylphenidate,4514
2021-01-01,All chemicals,8165
2021-01-01,Atomoxetine,2
2021-01-01,Dexamfetamine,1002
2021-01-01,Guanfacine,4
2021-01-01,Lisdexamfetamine,3181
2021-01-01,Methylphenidate,3976
2021-02-01,All chemicals,8449
2021-02-01,Atomoxetine,12
2021-02-01,Dexamfetamine,917
2021-02-01,Guanfacine,2
2021-02-01,Lisdexamfetamine,3545
2021-02-01,Methylphenidate,3973
2021-03-01,All chemicals,8027
2021-03-01,Atomoxetine,28
2021-03-01,Dexamfetamine,803
2021-03-01,Guanfacine,5
2021-03-01,Lisdexamfetamine,3409
2021-03-01,Methylphenidate,3782
2021-04-01,All chemicals,8532
2021-04-01,Atomoxetine,39
2021-04-01,Dexamfetamine,740
2021-04-01,Guanfacine,8
2021-04-01,Lisdexamfetamine,3620
2021-04-01,Methylphenidate,4125
2021-05-01,All chemicals,9584
2021-05-01,Atomoxetine,22
2021-05-01,Dexamfetamine,1116
2021-05-01,Guanfacine,17
2021-05-01,Lisdexamfetamine,4099
2021-05-01,Methylphenidate,4330
2021-06-01,All chemicals,6398
2021-06-01,Atomoxetine,10
2021-06-01,Dexamfetamine,618
2021-06-01,Guanfacine,6
2021-06-01,Lisdexamfetamine,2421
2021-06-01,Methylphenidate,3343
2021-07-01,All chemicals,10746
2021-07-01,Atomoxetine,56
2021-07-01,Dexamfetamine,1045
2021-07-01,Guanfacine,46
2021-07-01,Lisdexamfetamine,4854
2021-07-01,Methylphenidate,4745
2021-08-01,All chemicals,6659
2021-08-01,Atomoxetine,9
2021-08-01,Dexamfetamine,717
2021-08-01,Guanfacine,8
2021-08-01,Lisdexamfetamine,2719
2021-08-01,Methylphenidate,3206
2021-09-01,All chemicals,15730
2021-09-01,Atomoxetine,64
2021-09-01,Dexamfetamine,1291
2021-09-01,Guanfacine,37
2021-09-01,Lisdexamfetamine,7518
2021-09-01,Methylphenidate,6820
2021-10-01,All chemicals,12913
2021-10-01,Atomoxetine,75
2021-10-01,Dexamfetamine,1173
2021-10-01,Guanfacine,29
2021-10-01,Lisdexamfetamine,5779
2021-10-01,Methylphenidate,5857
2021-11-01,All chemicals,6973
2021-11-01,Atomoxetine,8
2021-11-01,Dexamfetamine,543
2021-11-01,Guanfacine,4
2021-11-01,Lisdexamfetamine,2924
2021-11-01,Methylphenidate,3494
2021-12-01,All chemicals,9107
2021-12-01,Atomoxetine,12
2021-12-01,Dexamfetamine,870
2021-12-01,Guanfacine,11
2021-12-01,Lisdexamfetamine,3771
2021-12-01,Methylphenidate,4443
2022-01-01,All chemicals,9200
2022-01-01,Atomoxetine,15
2022-01-01,Dexamfetamine,856
2022-01-01,Guanfacine,10
2022-01-01,Lisdexamfetamine,3866
2022-01-01,Methylphenidate,4453
2022-02-01,All chemicals,7636
2022-02-01,Atomoxetine,23
2022-02-01,Dexamfetamine,720
2022-02-01,Guanfacine,5
2022-02-01,Lisdexamfetamine,3264
2022-02-01,Methylphenidate,3624
2022-03-01,All chemicals,7147
2022-03-01,Atomoxetine,9
2022-03-01,Dexamfetamine,592
2022-03-01,Guanfacine,4
2022-03-01,Lisdexamfetamine,2884
2022-03-01,Methylphenidate,3658
2022-04-01,All chemicals,16674
2022-04-01,Atomoxetine,108
2022-04-01,Dexamfetamine,1434
2022-04-01,Guanfacine,65
2022-04-01,Lisdexamfetamine,7238
2022-04-01,Methylphenidate,7829
2022-05-01,All chemicals,21829
2022-05-01,Atomoxetine,173
2022-05-01,Dexamfetamine,1684
2022-05-01,Guanfacine,83
2022-05-01,Lisdexamfetamine,9485
2022-05-01,Methylphenidate,10404
2022-06-01,All chemicals,15224
2022-06-01,Atomoxetine,120
2022-06-01,Dexamfetamine,1212
2022-06-01,Guanfacine,69
2022-06-01,Lisdexamfetamine,6681
2022-06-01,Methylphenidate,7142
2022-07-01,All chemicals,19628
2022-07-01,Atomoxetine,127
2022-07-01,Dexamfetamine,1452
2022-07-01,Guanfacine,82
2022-07-01,Lisdexamfetamine,8409
2022-07-01,Methylphenidate,9558
2022-08-01,All chemicals,17785
2022-08-01,Atomoxetine,204
2022-08-01,Dexamfetamine,1297
2022-08-01,Guanfacine,105
2022-08-01,Lisdexamfetamine,7307
2022-08-01,Methylphenidate,8872
2022-09-01,All chemicals,21150
2022-09-01,Atomoxetine,180
2022-09-01,Dexamfetamine,1766
2022-09-01,Guanfacine,84
2022-09-01,Lisdexamfetamine,9489
2022-09-01,Methylphenidate,9631
2022-10-01,All chemicals,17840
2022-10-01,Atomoxetine,123
2022-10-01,Dexamfetamine,1113
2022-10-01,Guanfacine,103
2022-10-01,Lisdexamfetamine,7493
2022-10-01,Methylphenidate,9008
2022-11-01,All chemicals,22767
2022-11-01,Atomoxetine,171
2022-11-01,Dexamfetamine,1716
2022-11-01,Guanfacine,93
2022-11-01,Lisdexamfetamine,9979
2022-11-01,Methylphenidate,10808
2022-12-01,All chemicals,28591
