month,bnf_chemical_name,monthly_ddd_quantity
2025-08-01,Atomoxetine,9136.9375
2025-08-01,Dexamfetamine,5504.333333333334
2025-08-01,Guanfacine,10077
2025-08-01,Lisdexamfetamine,32598.333333333336
2025-08-01,Methylphenidate,97111.13333333333
2025-09-01,All chemicals,180764.08083333334
2025-09-01,Atomoxetine,10913.1875
2025-09-01,Dexamfetamine,6719.666666666667
2025-09-01,Guanfacine,10286
2025-09-01,Lisdexamfetamine,38587.333333333336
2025-09-01,Methylphenidate,114257.89333333334
2025-10-01,All chemicals,190478.14583333334
2025-10-01,Atomoxetine,10732.0125
2025-10-01,Dexamfetamine,5687.000000000001
2025-10-01,Guanfacine,10569
2025-10-01,Lisdexamfetamine,39074
2025-10-01,Methylphenidate,124416.13333333335
2025-11-01,All chemicals,167083.30316666668
2025-11-01,Atomoxetine,10899.7875
2025-11-01,Dexamfetamine,4411.003333333334
2025-11-01,Guanfacine,9695.486666666668
2025-11-01,Lisdexamfetamine,36874.66666666667
2025-11-01,Methylphenidate,105202.35900000001
2025-12-01,All chemicals,184271.92916666667
2025-12-01,Atomoxetine,11564.4625
2025-12-01,Dexamfetamine,5956.666666666667
2025-12-01,Guanfacine,11357
2025-12-01,Lisdexamfetamine,39808.333333333336
2025-12-01,Methylphenidate,115585.46666666667
