month,bnf_chemical_name,monthly_items
2023-11-01,Methylphenidate,129787
2023-12-01,All chemicals,185009
2023-12-01,Atomoxetine,11582
2023-12-01,Dexamfetamine,11109
2023-12-01,Guanfacine,4630
2023-12-01,Lisdexamfetamine,32529
2023-12-01,Methylphenidate,125159
2024-01-01,All chemicals,202366
2024-01-01,Atomoxetine,11863
2024-01-01,Dexamfetamine,12223
2024-01-01,Guanfacine,5369
2024-01-01,Lisdexamfetamine,39725
2024-01-01,Methylphenidate,133186
2024-02-01,All chemicals,187066
2024-02-01,Atomoxetine,11230
2024-02-01,Dexamfetamine,12117
2024-02-01,Guanfacine,4460
2024-02-01,Lisdexamfetamine,36804
2024-02-01,Methylphenidate,122455
2024-03-01,All chemicals,201507
2024-03-01,Atomoxetine,11528
2024-03-01,Dexamfetamine,12438
2024-03-01,Guanfacine,4699
2024-03-01,Lisdexamfetamine,45156
2024-03-01,Methylphenidate,127686
2024-04-01,All chemicals,205304
2024-04-01,Atomoxetine,11899
2024-04-01,Dexamfetamine,12931
2024-04-01,Guanfacine,4453
2024-04-01,Lisdexamfetamine,46545
2024-04-01,Methylphenidate,129476
2024-05-01,All chemicals,212010
2024-05-01,Atomoxetine,12198
2024-05-01,Dexamfetamine,13152
2024-05-01,Guanfacine,5573
2024-05-01,Lisdexamfetamine,47570
2024-05-01,Methylphenidate,133517
2024-06-01,All chemicals,199770
2024-06-01,Atomoxetine,11644
2024-06-01,Dexamfetamine,12336
2024-06-01,Guanfacine,5013
2024-06-01,Lisdexamfetamine,45244
2024-06-01,Methylphenidate,125533
2024-07-01,All chemicals,210235
2024-07-01,Atomoxetine,12533
2024-07-01,Dexamfetamine,13456
2024-07-01,Guanfacine,5503
2024-07-01,Lisdexamfetamine,49330
2024-07-01,Methylphenidate,129413
2024-08-01,All chemicals,197279
2024-08-01,Atomoxetine,11833
2024-08-01,Dexamfetamine,13483
2024-08-01,Guanfacine,5118
2024-08-01,Lisdexamfetamine,50898
2024-08-01,Methylphenidate,115947
2024-09-01,All chemicals,209037
2024-09-01,Atomoxetine,12294
2024-09-01,Dexamfetamine,13616
2024-09-01,Guanfacine,5435
2024-09-01,Lisdexamfetamine,52154
2024-09-01,Methylphenidate,125538
2024-10-01,All chemicals,219301
2024-10-01,Atomoxetine,12772
2024-10-01,Dexamfetamine,14564
2024-10-01,Guanfacine,5754
2024-10-01,Lisdexamfetamine,56822
2024-10-01,Methylphenidate,129389
2024-11-01,All chemicals,215451
2024-11-01,Atomoxetine,12389
2024-11-01,Dexamfetamine,14273
2024-11-01,Guanfacine,5728
2024-11-01,Lisdexamfetamine,56620
2024-11-01,Methylphenidate,126441
2024-12-01,All chemicals,221840
2024-12-01,Atomoxetine,12739
2024-12-01,Dexamfetamine,14709
2024-12-01,Guanfacine,5908
2024-12-01,Lisdexamfetamine,57944
2024-12-01,Methylphenidate,130540
2025-01-01,All chemicals,237082
2025-01-01,Atomoxetine,13090
2025-01-01,Dexamfetamine,15453
2025-01-01,Guanfacine,6316
2025-01-01,Lisdexamfetamine,62695
2025-01-01,Methylphenidate,139528
2025-02-01,All chemicals,216321
2025-02-01,Atomoxetine,11957
2025-02-01,Dexamfetamine,14795
2025-02-01,Guanfacine,5765
2025-02-01,Lisdexamfetamine,58045
2025-02-01,Methylphenidate,125759
2025-03-01,All chemicals,238599
2025-03-01,Atomoxetine,12852
2025-03-01,Dexamfetamine,15895
2025-03-01,Guanfacine,6206
2025-03-01,Lisdexamfetamine,63912
2025-03-01,Methylphenidate,139734
2025-04-01,All chemicals,229923
2025-04-01,Atomoxetine,12703
2025-04-01,Dexamfetamine,15920
2025-04-01,Guanfacine,6112
2025-04-01,Lisdexamfetamine,65830
2025-04-01,Methylphenidate,129358
2025-05-01,All chemicals,246564
2025-05-01,Atomoxetine,13493
2025-05-01,Dexamfetamine,17248
2025-05-01,Guanfacine,6555
2025-05-01,Lisdexamfetamine,70797
2025-05-01,Methylphenidate,138471
2025-06-01,All chemicals,244403
2025-06-01,Atomoxetine,13115
2025-06-01,Dexamfetamine,16923
2025-06-01,Guanfacine,6494
2025-06-01,Lisdexamfetamine,69701
2025-06-01,Methylphenidate,138170
2025-07-01,All chemicals,253653
2025-07-01,Atomoxetine,13919
2025-07-01,Dexamfetamine,17890
2025-07-01,Guanfacine,7070
2025-07-01,Lisdexamfetamine,74874
2025-07-01,Methylphenidate,139900
