estimate_year,source_workbook,icb_name,population
2013,ons_pop_estimates_2011-2022.xlsx,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1106141
2013,ons_pop_estimates_2011-2022.xlsx,NHS Suffolk and North East Essex Integrated Care Board,935555
2013,ons_pop_estimates_2011-2022.xlsx,NHS Surrey Heartlands Integrated Care Board,1007865
2013,ons_pop_estimates_2011-2022.xlsx,NHS Sussex Integrated Care Board,1633978
2013,ons_pop_estimates_2011-2022.xlsx,NHS West Yorkshire Integrated Care Board,2305292
2014,ons_pop_estimates_2011-2022.xlsx,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",888492
2014,ons_pop_estimates_2011-2022.xlsx,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",918528
2014,ons_pop_estimates_2011-2022.xlsx,NHS Birmingham and Solihull Integrated Care Board,1314929
2014,ons_pop_estimates_2011-2022.xlsx,NHS Black Country Integrated Care Board,1165425
2014,ons_pop_estimates_2011-2022.xlsx,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",922291
2014,ons_pop_estimates_2011-2022.xlsx,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",1672779
2014,ons_pop_estimates_2011-2022.xlsx,NHS Cambridgeshire and Peterborough Integrated Care Board,857893
2014,ons_pop_estimates_2011-2022.xlsx,NHS Cheshire and Merseyside Integrated Care Board,2433554
2014,ons_pop_estimates_2011-2022.xlsx,NHS Cornwall and the Isles of Scilly Integrated Care Board,545966
2014,ons_pop_estimates_2011-2022.xlsx,NHS Coventry and Warwickshire Integrated Care Board,882520
2014,ons_pop_estimates_2011-2022.xlsx,NHS Derby and Derbyshire Integrated Care Board,1031646
2014,ons_pop_estimates_2011-2022.xlsx,NHS Devon Integrated Care Board,1156431
2014,ons_pop_estimates_2011-2022.xlsx,NHS Dorset Integrated Care Board,758421
2014,ons_pop_estimates_2011-2022.xlsx,NHS Frimley Integrated Care Board,732327
2014,ons_pop_estimates_2011-2022.xlsx,NHS Gloucestershire Integrated Care Board,611331
2014,ons_pop_estimates_2011-2022.xlsx,NHS Greater Manchester Integrated Care Board,2733895
